annee;EUR;EUR + VA;UP + VA;DOWN + VA
1;-0,00358;-0,00318;0,00682;-0,00318
2;-0,0025;-0,0021;0,0079;-0,0021
3;-0,00088;-0,00048;0,00952;-0,00048
4;0,00069;0,00109;0,01109;0,00075
5;0,00209;0,00249;0,01249;0,00153
6;0,00347;0,00387;0,01387;0,00241
7;0,00469;0,00509;0,01509;0,00326
8;0,00585;0,00625;0,01625;0,00414
9;0,00695;0,00735;0,01735;0,00506
10;0,00802;0,00842;0,01842;0,00593
11;0,00897;0,00937;0,01937;0,00668
12;0,00982;0,01022;0,02022;0,00737
13;0,01059;0,01099;0,02099;0,00802
14;0,01125;0,01165;0,02165;0,0085
15;0,01177;0,01217;0,02217;0,00899
16;0,01217;0,01257;0,02257;0,00916
17;0,01249;0,01289;0,02289;0,00939
18;0,0128;0,0132;0,0232;0,00962
19;0,01316;0,01356;0,02356;0,00974
20;0,01357;0,01397;0,02397;0,01003
21;0,01408;0,01447;0,02447;0,0104
22;0,01464;0,01503;0,02503;0,01082
23;0,01524;0,01562;0,02562;0,01126
24;0,01586;0,01624;0,02624;0,01172
25;0,01649;0,01686;0,02686;0,01218
26;0,01713;0,01749;0,02749;0,01265
27;0,01775;0,01811;0,02811;0,01312
28;0,01837;0,01871;0,02871;0,01357
29;0,01897;0,01931;0,02931;0,01403
30;0,01956;0,01989;0,02989;0,01447
31;0,02013;0,02045;0,03045;0,0149
32;0,02069;0,021;0,031;0,01532
33;0,02122;0,02152;0,03152;0,01572
34;0,02174;0,02203;0,03203;0,01612
35;0,02223;0,02252;0,03252;0,0165
36;0,02271;0,02299;0,03299;0,01687
37;0,02317;0,02345;0,03345;0,01724
38;0,02362;0,02388;0,03388;0,01758
39;0,02404;0,0243;0,0343;0,01792
40;0,02445;0,02471;0,03471;0,01825
41;0,02485;0,0251;0,0351;0,01856
42;0,02523;0,02547;0,03547;0,01887
43;0,02559;0,02583;0,03583;0,01917
44;0,02594;0,02617;0,03617;0,01945
45;0,02628;0,02651;0,03651;0,01973
46;0,0266;0,02683;0,03683;0,02001
47;0,02692;0,02714;0,03714;0,02027
48;0,02722;0,02743;0,03743;0,02052
49;0,02751;0,02772;0,03772;0,02077
50;0,02779;0,02799;0,03799;0,021
51;0,02806;0,02826;0,03826;0,02124
52;0,02832;0,02852;0,03852;0,02147
53;0,02857;0,02877;0,03877;0,0217
54;0,02881;0,029;0,039;0,0219
55;0,02905;0,02924;0,03924;0,02212
56;0,02928;0,02946;0,03946;0,02232
57;0,02949;0,02967;0,03967;0,02252
58;0,02971;0,02988;0,03988;0,02272
59;0,02991;0,03009;0,04009;0,02292
60;0,03011;0,03028;0,04028;0,0231
61;0,0303;0,03047;0,04047;0,02328
62;0,03049;0,03065;0,04065;0,02345
63;0,03067;0,03083;0,04083;0,02363
64;0,03084;0,031;0,041;0,0238
65;0,03101;0,03117;0,04117;0,02397
66;0,03118;0,03133;0,04133;0,02413
67;0,03134;0,03149;0,04149;0,0243
68;0,03149;0,03165;0,04165;0,02446
69;0,03164;0,03179;0,04179;0,02461
70;0,03179;0,03194;0,04194;0,02476
71;0,03193;0,03208;0,04208;0,02491
72;0,03207;0,03222;0,04222;0,02506
73;0,03221;0,03235;0,04235;0,0252
74;0,03234;0,03248;0,04248;0,02535
75;0,03247;0,03261;0,04261;0,02549
76;0,03259;0,03273;0,04273;0,02563
77;0,03271;0,03285;0,04285;0,02576
78;0,03283;0,03296;0,04296;0,02589
79;0,03295;0,03308;0,04308;0,02602
80;0,03306;0,03319;0,04319;0,02615
81;0,03317;0,0333;0,0433;0,02628
82;0,03328;0,0334;0,0434;0,0264
83;0,03338;0,03351;0,04351;0,02653
84;0,03348;0,03361;0,04361;0,02666
85;0,03358;0,0337;0,0437;0,02677
86;0,03368;0,0338;0,0438;0,02689
87;0,03378;0,03389;0,04389;0,027
88;0,03387;0,03399;0,04399;0,02713
89;0,03396;0,03408;0,04408;0,02724
90;0,03405;0,03416;0,04416;0,02735
91;0,03414;0,03425;0,04425;0,02742
92;0,03422;0,03433;0,04433;0,02749
93;0,0343;0,03442;0,04442;0,02756
94;0,03439;0,0345;0,0445;0,02762
95;0,03447;0,03457;0,04457;0,02768
96;0,03454;0,03465;0,04465;0,02774
97;0,03462;0,03473;0,04473;0,02781
98;0,0347;0,0348;0,0448;0,02786
99;0,03477;0,03487;0,04487;0,02792
100;0,03484;0,03494;0,04494;0,02797
101;0,03491;0,03501;0,04501;0,02803
102;0,03498;0,03508;0,04508;0,02808
103;0,03505;0,03515;0,04515;0,02814
104;0,03512;0,03522;0,04522;0,0282
105;0,03518;0,03528;0,04528;0,02824
106;0,03525;0,03534;0,04534;0,02829
107;0,03531;0,0354;0,0454;0,02834
108;0,03537;0,03547;0,04547;0,0284
109;0,03543;0,03553;0,04553;0,02844
110;0,03549;0,03558;0,04558;0,02848
111;0,03555;0,03564;0,04564;0,02853
112;0,03561;0,0357;0,0457;0,02858
113;0,03566;0,03575;0,04575;0,02862
114;0,03572;0,03581;0,04581;0,02867
115;0,03577;0,03586;0,04586;0,02871
116;0,03583;0,03591;0,04591;0,02874
117;0,03588;0,03597;0,04597;0,02879
118;0,03593;0,03602;0,04602;0,02883
119;0,03598;0,03607;0,04607;0,02887
120;0,03603;0,03612;0,04612;0,02891
121;0,03608;0,03617;0,04617;0,02895
122;0,03613;0,03621;0,04621;0,02898
123;0,03618;0,03626;0,04626;0,02902
124;0,03622;0,03631;0,04631;0,02907
125;0,03627;0,03635;0,04635;0,0291
126;0,03631;0,0364;0,0464;0,02914
127;0,03636;0,03644;0,04644;0,02917
128;0,0364;0,03648;0,04648;0,0292
129;0,03645;0,03653;0,04653;0,02924
130;0,03649;0,03657;0,04657;0,02927
131;0,03653;0,03661;0,04661;0,0293
132;0,03657;0,03665;0,04665;0,02934
133;0,03661;0,03669;0,04669;0,02937
134;0,03665;0,03673;0,04673;0,0294
135;0,03669;0,03677;0,04677;0,02943
136;0,03673;0,03681;0,04681;0,02946
137;0,03677;0,03685;0,04685;0,0295
138;0,03681;0,03688;0,04688;0,02952
139;0,03684;0,03692;0,04692;0,02955
140;0,03688;0,03696;0,04696;0,02958
141;0,03692;0,03699;0,04699;0,02961
142;0,03695;0,03703;0,04703;0,02964
143;0,03699;0,03706;0,04706;0,02966
144;0,03702;0,0371;0,0471;0,0297
145;0,03706;0,03713;0,04713;0,02972
146;0,03709;0,03716;0,04716;0,02974
147;0,03712;0,0372;0,0472;0,02978
148;0,03716;0,03723;0,04723;0,0298
149;0,03719;0,03726;0,04726;0,02982
150;0,03722;0,03729;0,04729;0,02985
